Number,Group,Sub-group,Type,Protocol,Universe,Address,X,Y
1,Haut,Port 1,GRB,ArtNet,0,1,0,0
2,Haut,Port 1,GRB,ArtNet,0,4,3,0
3,Haut,Port 1,GRB,ArtNet,0,7,5,0
4,Haut,Port 1,GRB,ArtNet,0,10,8,0
5,Haut,Port 1,GRB,ArtNet,0,13,10,0
6,Haut,Port 1,GRB,ArtNet,0,16,13,0
7,Haut,Port 1,GRB,ArtNet,0,19,15,0
8,Haut,Port 1,GRB,ArtNet,0,22,18,0
9,Haut,Port 1,GRB,ArtNet,0,25,20,0
10,Haut,Port 1,GRB,ArtNet,0,28,23,0
11,Haut,Port 1,GRB,ArtNet,0,31,25,0
12,Haut,Port 1,GRB,ArtNet,0,34,28,0
13,Haut,Port 1,GRB,ArtNet,0,37,30,0
14,Haut,Port 1,GRB,ArtNet,0,40,33,0
15,Haut,Port 1,GRB,ArtNet,0,43,35,0
16,Haut,Port 1,GRB,ArtNet,0,46,38,0
17,Haut,Port 1,GRB,ArtNet,0,49,40,0
18,Haut,Port 1,GRB,ArtNet,0,52,43,0
19,Haut,Port 1,GRB,ArtNet,0,55,45,0
20,Haut,Port 1,GRB,ArtNet,0,58,48,0
21,Haut,Port 1,GRB,ArtNet,0,61,51,0
22,Haut,Port 1,GRB,ArtNet,0,64,53,0
23,Haut,Port 1,GRB,ArtNet,0,67,56,0
24,Haut,Port 1,GRB,ArtNet,0,70,58,0
25,Haut,Port 1,GRB,ArtNet,0,73,61,0
26,Haut,Port 1,GRB,ArtNet,0,76,63,0
27,Haut,Port 1,GRB,ArtNet,0,79,66,0
28,Haut,Port 1,GRB,ArtNet,0,82,68,0
29,Haut,Port 1,GRB,ArtNet,0,85,71,0
30,Haut,Port 1,GRB,ArtNet,0,88,73,0
31,Haut,Port 1,GRB,ArtNet,0,91,76,0
32,Haut,Port 1,GRB,ArtNet,0,94,78,0
33,Haut,Port 1,GRB,ArtNet,0,97,81,0
34,Haut,Port 1,GRB,ArtNet,0,100,83,0
35,Haut,Port 1,GRB,ArtNet,0,103,86,0
36,Haut,Port 1,GRB,ArtNet,0,106,88,0
37,Haut,Port 1,GRB,ArtNet,0,109,91,0
38,Haut,Port 1,GRB,ArtNet,0,112,93,0
39,Haut,Port 1,GRB,ArtNet,0,115,96,0
40,Haut,Port 1,GRB,ArtNet,0,118,98,0
41,Haut,Port 1,GRB,ArtNet,0,121,101,0
42,Haut,Port 1,GRB,ArtNet,0,124,104,0
43,Haut,Port 1,GRB,ArtNet,0,127,106,0
44,Haut,Port 1,GRB,ArtNet,0,130,109,0
45,Haut,Port 1,GRB,ArtNet,0,133,111,0
46,Haut,Port 1,GRB,ArtNet,0,136,114,0
47,Haut,Port 1,GRB,ArtNet,0,139,116,0
48,Haut,Port 1,GRB,ArtNet,0,142,119,0
49,Haut,Port 1,GRB,ArtNet,0,145,121,0
50,Haut,Port 1,GRB,ArtNet,0,148,124,0
51,Haut,Port 1,GRB,ArtNet,0,151,126,0
52,Haut,Port 1,GRB,ArtNet,0,154,129,0
53,Haut,Port 1,GRB,ArtNet,0,157,131,0
54,Haut,Port 1,GRB,ArtNet,0,160,134,0
55,Haut,Port 1,GRB,ArtNet,0,163,136,0
56,Haut,Port 1,GRB,ArtNet,0,166,139,0
